model_name,organization,parameters_b,average_score,benchmark_ifeval,benchmark_bbh,benchmark_math_lvl5,benchmark_gpqa,benchmark_musr,benchmark_mmlu_pro,license,release_date,co2_cost_kg,model_type
DreadPoor/Happy_New_Year-8B-Model_Stock,DreadPoor,8.03,29.722378273097977,76.15726272955757,34.00006494069371,15.93655589123867,8.501118568232664,11.752343749999996,31.98692375886525,,,1.281487412969691,🤝 base merges and moerges
DreadPoor/Heart_Stolen-8B-Model_Stock,DreadPoor,8.03,29.411035925290932,72.44533393617823,34.44482164620488,17.220543806646525,8.948545861297541,12.361979166666666,31.044991134751776,cc-by-nc-4.0,2024-09-09,1.4986020927170227,🤝 base merges and moerges
DreadPoor/Heart_Stolen-ALT-8B-Model_Stock,DreadPoor,8.03,27.8678381845889,71.83584001560305,32.354424456472486,15.634441087613293,6.823266219239373,9.754166666666663,30.80489066193854,,,1.471254548591098,🤝 base merges and moerges
DreadPoor/Here_We_Go_Again-8B-SLERP,DreadPoor,4.015,30.129656228309155,74.42120240960651,35.53148620432186,17.29607250755287,9.172259507829976,12.434635416666666,31.922281323877062,,,1.225435569157672,🤝 base merges and moerges
DreadPoor/Howdy-8B-LINEAR,DreadPoor,8.03,29.644826479517462,73.77923908562614,34.22706196535763,17.749244712990937,8.612975391498878,12.316927083333331,31.183510638297868,,,1.3063248770741902,🤝 base merges and moerges
DreadPoor/Incidental-8B-Model_Stock,DreadPoor,8.03,29.5682894801915,74.81837081166859,35.15766080254052,16.1631419939577,7.046979865771815,12.301302083333331,31.922281323877062,,,1.2634223164614282,🤝 base merges and moerges
DreadPoor/Irina-8B-model_stock,DreadPoor,8.03,25.34985665112922,67.99403360860295,32.08833034979686,10.196374622356496,4.5861297539149914,8.636458333333332,28.59781323877068,,,1.491172890181649,🤝 base merges and moerges
DreadPoor/Kindling-8B-Model_Stock,DreadPoor,8.03,29.66229791748307,73.08231049171752,35.77883534009465,17.522658610271904,9.060402684563762,11.087499999999997,31.44208037825059,,,1.2885656354328203,🤝 base merges and moerges
DreadPoor/L3.1-BaeZel-8B-Della,DreadPoor,8.03,26.25567172776485,51.802439748755525,35.15745504522053,17.447129909365557,9.284116331096197,11.597395833333332,32.245493498817964,,,1.3179894823741092,🤝 base merges and moerges
DreadPoor/Laughing_Stock-8B-Model_Stock,DreadPoor,8.03,28.212504336786974,71.89579205397234,34.93824337423678,15.785498489425981,5.257270693512303,10.68567708333333,30.712544326241126,,,1.2966608065773144,🤝 base merges and moerges
